data;1THB;1USD;1AUD;1HKD;1CAD;1NZD;1SGD;1EUR;100HUF;1CHF;1GBP;1UAH;100JPY;1CZK;1DKK;100ISK;1NOK;1SEK;1HRK;1RON;1BGN;1TRY;1ILS;100CLP;1PHP;1MXN;1ZAR;1BRL;1MYR;1RUB;10000IDR;100INR;100KRW;1CNY;1XDR;nr tabeli;pe³ny numer tabeli;
20180115;0,1066;3,4010;2,7080;0,4347;2,7382;2,4797;2,5749;4,1696;1,3482;3,5334;4,6902;0,1191;3,0761;0,1633;0,5597;3,3158;0,4312;0,4236;0,5604;0,9012;2,1319;0,9051;1,0002;0,5633;0,0677;0,1802;0,2765;1,0608;0,8597;0,0603;2,5505;5,3601;0,3202;0,5286;4,9228;10;010/A/NBP/2018;
20180116;0,1069;3,4190;2,7188;0,4369;2,7508;2,4858;2,5827;4,1825;1,3533;3,5428;4,7060;0,1193;3,0893;0,1639;0,5615;3,3260;0,4339;0,4258;0,5630;0,8975;2,1385;0,8941;1,0033;0,5668;0,0675;0,1811;0,2788;1,0630;0,8642;0,0606;2,5634;5,3341;0,3210;0,5308;4,9381;11;011/A/NBP/2018;
20180117;0,1068;3,4109;2,7203;0,4362;2,7398;2,4797;2,5776;4,1739;1,3505;3,5398;4,7051;0,1189;3,0801;0,1640;0,5604;3,3192;0,4332;0,4237;0,5626;0,8964;2,1341;0,8925;0,9906;0,5619;0,0672;0,1816;0,2771;1,0579;0,8626;0,0603;2,5535;5,3354;0,3193;0,5300;4,9099;12;012/A/NBP/2018;
20180118;0,1068;3,4108;2,7210;0,4363;2,7420;2,4853;2,5783;4,1663;1,3512;3,5471;4,7216;0,1185;3,0645;0,1640;0,5595;3,3040;0,4334;0,4242;0,5603;0,8956;2,1302;0,8964;0,9953;0,5621;0,0673;0,1825;0,2783;1,0580;0,8623;0,0602;2,5557;5,3445;0,3188;0,5307;4,9115;13;013/A/NBP/2018;
20180119;0,1066;3,3994;2,7271;0,4348;2,7390;2,4829;2,5768;4,1750;1,3498;3,5576;4,7301;0,1178;3,0725;0,1642;0,5606;3,3214;0,4337;0,4246;0,5612;0,8957;2,1347;0,8989;0,9986;0,5615;0,0669;0,1828;0,2795;1,0601;0,8632;0,0601;2,5533;5,3310;0,3190;0,5310;4,9158;14;014/A/NBP/2018;
20180122;0,1069;3,4036;2,7266;0,4353;2,7289;2,4866;2,5804;4,1696;1,3473;3,5472;4,7304;0,1178;3,0744;0,1642;0,5601;3,3118;0,4336;0,4234;0,5607;0,8934;2,1319;0,8923;0,9943;0,5598;0,0669;0,1831;0,2827;1,0647;0,8650;0,0602;2,5500;5,3378;0,3183;0,5316;4,9089;15;015/A/NBP/2018;
20180123;0,1071;3,4084;2,7157;0,4360;2,7317;2,4971;2,5821;4,1712;1,3459;3,5396;4,7527;0,1181;3,0800;0,1642;0,5604;3,3131;0,4328;0,4240;0,5611;0,8939;2,1327;0,8998;0,9961;0,5634;0,0667;0,1820;0,2823;1,0644;0,8681;0,0603;2,5579;5,3388;0,3171;0,5321;4,9149;16;016/A/NBP/2018;
20180124;0,1067;3,3750;2,7188;0,4317;2,7316;2,4948;2,5721;4,1637;1,3472;3,5460;4,7563;0,1171;3,0774;0,1640;0,5593;3,3071;0,4323;0,4233;0,5601;0,8922;2,1288;0,8990;0,9916;0,5537;0,0664;0,1814;0,2823;1,0426;0,8626;0,0599;2,5350;5,3037;0,3166;0,5291;4,9014;17;017/A/NBP/2018;
20180125;0,1061;3,3376;2,6988;0,4269;2,7111;2,4587;2,5566;4,1493;1,3414;3,5470;4,7688;0,1162;3,0618;0,1633;0,5574;3,2957;0,4320;0,4226;0,5584;0,8892;2,1215;0,8906;0,9803;0,5538;0,0657;0,1808;0,2810;1,0607;0,8590;0,0598;2,5116;5,2493;0,3146;0,5277;4,8691;18;018/A/NBP/2018;
20180126;0,1062;3,3299;2,6908;0,4259;2,7031;2,4539;2,5487;4,1477;1,3389;3,5644;4,7489;0,1168;3,0519;0,1635;0,5571;3,3076;0,4332;0,4227;0,5590;0,8885;2,1207;0,8894;0,9829;0,5552;0,0652;0,1795;0,2810;1,0576;0,8603;0,0597;2,5024;5,2439;0,3130;0,5266;4,8631;19;019/A/NBP/2018;
20180129;0,1062;3,3375;2,6997;0,4268;2,7015;2,4441;2,5486;4,1423;1,3388;3,5625;4,7082;0,1182;3,0677;0,1638;0,5565;3,3192;0,4335;0,4231;0,5584;0,8899;2,1180;0,8822;0,9814;0,5537;0,0651;0,1797;0,2789;1,0584;0,8598;0,0593;2,4975;5,2494;0,3125;0,5275;4,8485;20;020/A/NBP/2018;
20180130;0,1064;3,3442;2,7039;0,4277;2,7126;2,4492;2,5501;4,1461;1,3371;3,5802;4,7061;0,1194;3,0776;0,1637;0,5570;3,3275;0,4328;0,4237;0,5589;0,8915;2,1199;0,8849;0,9841;0,5540;0,0650;0,1797;0,2808;1,0600;0,8578;0,0596;2,4896;5,2502;0,3126;0,5276;4,8655;21;021/A/NBP/2018;
20180131;0,1064;3,3318;2,6978;0,4260;2,7108;2,4640;2,5464;4,1488;1,3358;3,5755;4,7076;0,1197;3,0644;0,1640;0,5575;3,3137;0,4333;0,4249;0,5582;0,8910;2,1213;0,8867;0,9765;0,5490;0,0650;0,1788;0,2813;1,0473;0,8541;0,0593;2,4886;5,2331;0,3123;0,5295;4,8604;22;022/A/NBP/2018;

kod ISO;THB;USD;AUD;HKD;CAD;NZD;SGD;EUR;HUF;CHF;GBP;UAH;JPY;CZK;DKK;ISK;NOK;SEK;HRK;RON;BGN;TRY;ILS;CLP;PHP;MXN;ZAR;BRL;MYR;RUB;IDR;INR;KRW;CNY;XDR;
nazwa waluty;bat (Tajlandia);dolar amerykañski;dolar australijski;dolar Hongkongu;dolar kanadyjski;dolar nowozelandzki;dolar singapurski;euro;forint (Wêgry);frank szwajcarski;funt szterling;hrywna (Ukraina);jen (Japonia);korona czeska;korona duñska;korona islandzka;korona norweska;korona szwedzka;kuna (Chorwacja);lej rumuñski;lew (Bu³garia);lira turecka;nowy  izraelski szekel;peso  chilijskie;peso filipiñskie;peso meksykañskie;rand (Republika Po³udniowej Afryki);real (Brazylia);ringgit (Malezja);rubel rosyjski;rupia indonezyjska;rupia  indyjska;won po³udniowokoreañski;yuan renminbi (Chiny);SDR (MFW);
liczba jednostek;1;1;1;1;1;1;1;1;100;1;1;1;100;1;1;100;1;1;1;1;1;1;1;100;1;1;1;1;1;1;10000;100;100;1;1;
